Operación;Liquidación;Operación;Mercado;Operación;ISIN;Valor;Títulos/NOMINAL;Divisa;Precio Neto;Importe neto
2025-05-02 ;2025-05-08 ;205761942;FONDOS EXTRANJEROS;SUSCRIPCION;LU1915690595;NORDEA ACTIVE RATES OPP BP EUR;2,179;EUR;119,2727;259,89
2025-04-28 ;2025-04-30 ;205318588;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,78;EUR;20,8936;99,87
2025-04-25 ;2025-04-29 ;205186154;FONDOS EXTRANJEROS;SUSCRIPCION;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;0,2592;EUR;385,72;99,97
2025-04-08 ;2025-04-09 ;202368596;FONDOS EXTRANJEROS;SUSCRIPCION;LU0625737910;PICTET CHINA INDEX P ACC;2,06132;EUR;116,43;239,99
2025-04-07 ;2025-04-09 ;201982193;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;5,03;EUR;19,8517;99,85
2025-03-18 ;2025-03-20 ;199142730;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;5,64;EUR;22,1618;124,99
2025-03-14 ;2025-03-10 ;198706859;FONDOS EXTRANJEROS;ABONO DIVIDENDO IIC;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;3,3203;EUR;0,04;0,14
2025-03-13 ;2025-03-17 ;198524719;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,58;EUR;21,826;99,96
2025-03-06 ;2025-03-10 ;197517581;FONDOS EXTRANJEROS;SUSCRIPCION;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;0,2285;EUR;437,63;99,99
2025-02-19 ;2025-02-21 ;195453545;FONDOS EXTRANJEROS;SUSCR.POR TRASPASO I;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;28,89;EUR;24,4218;705,72
2025-02-14 ;2025-02-17 ;194876890;FONDOS EXTRANJEROS;REEMB.POR TRASPASO I;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;4,64;EUR;152,0949;705,72
2025-02-06 ;2025-02-07 ;193784022;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,64;EUR;154,1701;98,66
2025-02-05 ;2025-02-07 ;193725148;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;8,3;EUR;24,0926;199,96
2025-02-04 ;2025-02-05 ;193321944;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,32;EUR;152,7061;48,86
2025-02-04 ;2025-02-05 ;193278448;FONDOS EXTRANJEROS;SUSCRIPCION;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;3,0918;EUR;485,14;1499,95
2025-01-31 ;2025-01-31 ;193061079;FONDOS EXTRANJEROS;SUSCRIPCION;FR0000991390;TRESORERIE R ACC EUR;0,01088;EUR;91828,74;999,09
2025-01-24 ;2025-01-28 ;192390151;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,12;EUR;24,2326;99,83
2025-01-23 ;2025-01-24 ;192121245;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,33;EUR;149,1747;49,22
2024-12-23 ;2024-12-30 ;188437623;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,27;EUR;23,376;99,81
2024-12-20 ;2024-12-23 ;188252816;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,64;EUR;154,2623;98,72
2024-12-03 ;2024-12-05 ;185713678;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;5,04;EUR;23,8061;119,98
2024-12-02 ;2024-12-03 ;185374088;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,62;EUR;160,6155;99,58
2024-11-18 ;2024-11-19 ;183500649;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;0,64;EUR;154,3101;98,75
2024-11-08 ;2024-11-12 ;182523185;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,37;EUR;22,837;99,79
2024-10-23 ;2024-10-25 ;181207483;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;4,44;EUR;22,4999;99,89
2024-10-02 ;2024-10-04 ;178337014;FONDOS EXTRANJEROS;SUSCRIPCION;IE00B246KL88;VG 20 EUR TREAS IDX EUR AC;6,31;EUR;158,4123;999,58
2024-09-24 ;2024-09-26 ;177750963;FONDOS EXTRANJEROS;SUSCRIPCION;IE00BD0NCM55;ISHARES DEVL WRLD INDX D EUR;69,49;EUR;21,5848;1499,92
